China,India,USA,Germany,Netherlands,Iran,Hong Kong,Taiwan,Sri Lanka,Czech Republic,Malaysia,Japan,Serbia,Spain,Brazil,Nigeria,South Africa,Tunisia,Turkey,Greece,Italy,France,Iraq,South Korea,Pakistan,Israel,Peru,Colombia,Viet Nam,Australia,Sweden,Belgium,Nepal,Philippines,Finland,Thailand
8481,7842,7889,8472,7646,-219,7467,7504,7467,7473,3560,7467,3313,8472,7467,3436,7458,1018,7544,7458,195,7447,-4138,7467,7467,7376,7628,8481,3394,1594,7467,2954,7750,-326,7467,-1091
7842,8482,8408,7833,8286,-218,8107,8144,8095,6834,3400,8107,3326,7833,8107,3431,8098,1004,8184,8098,213,8087,-4138,8107,8107,8016,8268,7842,3411,1599,8107,2943,8390,-321,8107,-1091
7889,8408,8480,7897,8229,-215,8033,8070,8023,6898,3376,8033,3324,7897,8033,3429,8041,1004,8110,8041,204,8030,-4138,8033,8033,7959,8211,7889,3347,1617,8033,2924,8316,-308,8033,-1091
8472,7833,7897,8480,7654,-219,7458,7495,7458,7481,3560,7458,3315,8480,7458,3434,7466,1018,7535,7466,195,7455,-4138,7458,7458,7384,7636,8472,3399,1594,7458,2945,7741,-328,7458,-1091
7646,8286,8229,7654,8482,-226,8286,8323,8274,6655,3456,8286,3343,7654,8286,3428,8294,999,8363,8294,212,8283,-4138,8286,8286,8212,8464,7646,3406,1610,8286,2972,8379,-300,8286,-1091
-219,-218,-215,-219,-226,3143,-242,-225,-242,-232,-248,-242,-259,-219,-242,-214,-242,1218,-226,-242,2041,-248,-953,-242,-242,-248,-226,-219,-42,1157,-242,522,-218,2401,-233,1013
7467,8107,8033,7458,8286,-242,8481,8443,8469,6459,3405,8481,3358,7458,8481,3427,8472,1016,8405,8472,220,8461,-4138,8481,8481,8390,8304,7467,3411,1594,8481,2933,8200,-300,8468,-1099
7504,8144,8070,7495,8323,-225,8443,8480,8431,6496,3432,8443,3368,7495,8443,3409,8434,1010,8442,8434,220,8423,-4138,8443,8443,8352,8341,7504,3400,1594,8443,2965,8237,-300,8443,-1091
7467,8095,8023,7458,8274,-242,8469,8431,8482,6459,3404,8469,3349,7458,8469,3426,8460,1018,8393,8460,224,8449,-4138,8469,8469,8378,8292,7467,3410,1594,8469,2932,8188,-301,8456,-1099
7473,6834,6898,7481,6655,-232,6459,6496,6459,8490,4569,6459,3411,7481,6459,3442,6467,1040,6536,6467,211,6456,-4138,6459,6459,6385,6637,7473,3359,1531,6459,2962,6742,-318,6459,-1098
3560,3400,3376,3560,3456,-248,3405,3432,3404,4569,8503,3405,3278,3560,3405,3423,3412,1004,3459,3412,184,3414,-4138,3405,3405,3422,3464,3560,3326,1578,3405,2904,3437,-329,3414,-1102
7467,8107,8033,7458,8286,-242,8481,8443,8469,6459,3405,8481,3358,7458,8481,3427,8472,1010,8405,8472,220,8461,-4138,8481,8481,8390,8304,7467,3411,1594,8481,2933,8200,-300,8468,-1099
