China,India,USA,Germany,Netherlands,Iran,Hong Kong,Taiwan,Sri Lanka,Czech Republic,Malaysia,Japan,Serbia,Spain,Brazil,Nigeria,South Africa,Tunisia,Turkey,Greece,Italy,France,Iraq,South Korea,Pakistan,Israel,Peru,Colombia,Viet Nam,Australia,Sweden,Belgium,Nepal,Philippines,Finland,Thailand
0,639,592,9,835,8700,1014,977,1014,1008,4921,1014,5168,9,1014,5045,1023,7465,937,1023,8286,1034,12619,1014,1014,1105,853,0,5087,6887,1014,5527,731,8807,1014,9572
639,0,74,649,196,8700,375,338,387,1648,5082,375,5156,649,375,5051,384,7480,298,384,8269,395,12620,375,375,466,214,640,5071,6883,375,5539,92,8803,375,9573
592,74,0,583,251,8695,447,410,457,1582,5104,447,5156,583,447,5051,439,7466,370,439,8276,450,12618,447,447,521,269,591,5133,6863,447,5556,164,8788,447,9571
9,649,583,0,826,8699,1022,985,1022,999,4920,1022,5165,0,1022,5046,1014,7462,945,1014,8285,1025,12618,1022,1022,1096,844,8,5081,6886,1022,5535,739,8808,1022,9571
835,196,251,826,0,8708,196,159,208,1827,5026,196,5139,828,196,5054,188,7484,119,188,8270,199,12620,196,196,270,18,836,5076,6872,196,5510,103,8782,196,9573
8700,8700,8695,8699,8708,0,3385,3368,3385,3375,3391,3385,3402,3362,3385,3357,3385,1936,3369,3385,1102,3391,4096,3385,3385,3391,3369,3362,3185,1986,3385,2621,3361,742,3376,2130
1014,375,447,1022,196,3385,0,38,12,2022,5076,0,5123,1023,0,5054,9,7465,76,9,8261,20,12619,0,0,91,177,1014,5070,6887,0,5548,281,8781,13,9580
977,338,410,985,159,3368,38,0,49,1984,5048,37,5112,985,37,5071,46,7467,38,46,8260,57,12618,37,37,128,139,976,5080,6886,37,5515,243,8780,37,9571
1014,387,457,1022,208,3385,12,49,0,2023,5078,13,5133,1024,13,5056,22,7470,89,22,8258,33,12620,13,13,104,190,1015,5072,6888,13,5550,294,8783,26,9581
1008,1648,1582,999,1827,3375,2022,1984,2023,0,3921,2031,5079,1009,2031,5048,2023,7450,1954,2023,8279,2034,12628,2031,2031,2105,1853,1017,5131,6959,2031,5528,1748,8808,2031,9588
4921,5082,5104,4920,5026,3391,5076,5048,5078,3921,0,5098,5225,4943,5098,5080,5091,7499,5044,5091,8319,5089,12641,5098,5098,5081,5039,4943,5177,6925,5098,5599,5066,8832,5089,9605
1014,375,447,1022,196,3385,0,37,13,2031,5098,0,5123,1023,0,5054,9,7471,76,9,8261,20,12619,0,0,91,177,1014,5070,6887,0,5548,281,8781,13,9580
5168,5156,5156,5165,5139,3402,5123,5112,5133,5079,5225,5123,0,5263,5220,5066,5220,7612,5198,5220,8508,5231,12716,5220,5220,5249,5227,5265,5310,7051,5220,5623,5247,8989,5233,9721
