China,India,USA,Germany,Netherlands,Iran,Hong Kong,Taiwan,Sri Lanka,Czech Republic,Malaysia,Japan,Serbia,Spain,Brazil,Nigeria,South Africa,Tunisia,Turkey,Greece,Italy,France,Iraq,South Korea,Pakistan,Israel,Peru,Colombia,Viet Nam,Australia,Sweden,Belgium,Nepal,Philippines,Finland,Thailand
29781,29699,29697,28232,29666,-29055,29669,29654,29641,29628,27500,29651,-22137,29770,29647,-27477,29647,-28799,29718,29641,-28969,29668,-29653,29670,29618,29676,29688,29768,-26959,-28657,29663,-28161,29722,-29067,29667,-29201
29699,29851,29811,28153,29792,-29125,29797,29782,29767,29633,27418,29787,-22207,29691,29775,-27547,29775,-28869,29741,29769,-29039,29796,-29723,29798,29746,29789,29798,29697,-27029,-28727,29791,-28231,29742,-29137,29687,-29271
29697,29811,29847,28175,29792,-29121,29781,29766,29752,29647,27418,29763,-22203,29705,29759,-27543,29775,-28865,29728,29769,-29035,29796,-29719,29782,29730,29792,29801,29687,-27025,-28723,29775,-28227,29729,-29133,29674,-29267
28232,28153,28175,29782,28136,-29056,28123,28108,28095,28098,27219,28105,-22138,28238,28101,-27478,28117,-28800,28170,28111,-28970,28138,-29654,28126,28104,28146,28158,28224,-26960,-28658,28117,-28162,28175,-29068,28126,-29202
29666,29792,29792,28136,29880,-29154,29849,29834,29819,29614,27387,29831,-22236,29674,29827,-27576,29843,-28898,29738,29837,-29068,29840,-29752,29826,29744,29800,29809,29656,-27058,-28756,29831,-28260,29724,-29166,29684,-29300
-29055,-29125,-29121,-29056,-29154,363,-29165,-29174,-29177,-29030,-28755,-29177,-3096,-29056,-29177,-445,-29177,3,-29106,-29177,179,-29156,-235,-29156,-29110,-29144,-29130,-29056,-685,-19,-29160,-162,-29085,246,-29080,15
29669,29797,29781,28123,29849,-29165,29891,29866,29857,29603,27388,29869,-22247,29661,29865,-27587,29865,-28909,29759,29859,-29079,29859,-29763,29861,29779,29819,29801,29659,-27069,-28767,29866,-28271,29727,-29177,29715,-29311
29654,29782,29766,28108,29834,-29174,29866,29900,29873,29588,27373,29881,-22256,29646,29893,-27596,29877,-28918,29748,29871,-29088,29838,-29772,29852,29758,29798,29786,29644,-27078,-28776,29849,-28280,29712,-29186,29696,-29320
29641,29767,29752,28095,29819,-29177,29857,29873,29903,29575,27360,29875,-22259,29633,29875,-27599,29871,-28921,29745,29865,-29091,29829,-29775,29835,29749,29789,29771,29631,-27081,-28779,29836,-28283,29697,-29189,29685,-29323
29628,29633,29647,28098,29614,-29030,29603,29588,29575,29756,27511,29585,-22112,29636,29581,-27452,29597,-28774,29568,29603,-28944,29618,-29628,29604,29552,29638,29650,29618,-26934,-28632,29597,-28136,29569,-29042,29514,-29176
27500,27418,27418,27219,27387,-28755,27388,27373,27360,27511,29481,27370,-21837,27491,27366,-27177,27368,-28499,27437,27362,-28669,27391,-29353,27389,27337,27399,27409,27487,-26659,-28357,27382,-27861,27468,-28767,27473,-28901
29651,29787,29763,28105,29831,-29177,29869,29881,29875,29585,27370,29903,-22259,29643,29883,-27599,29883,-28921,29741,29877,-29091,29841,-29775,29843,29761,29801,29783,29649,-27081,-28779,29848,-28283,29709,-29189,29697,-29323
-22137,-22207,-22203,-22138,-22236,-3096,-22247,-22256,-22259,-22112,-21837,-22259,3822,-22138,-22259,-1558,-22259,-2840,-22188,-22259,-3010,-22238,-3694,-22238,-22192,-22226,-22212,-22138,-1178,-2698,-22242,-2202,-22167,-3108,-22162,-3242
29770,29691,29705,28238,29674,-29056,29661,29646,29633,29636,27491,29643,-22138,29782,29639,-27478,29655,-28800,29710,29649,-28970,29676,-29654,29662,29610,29684,29696,29760,-26960,-28658,29655,-28162,29711,-29068,29656,-29202
29647,29775,29759,28101,29827,-29177,29865,29893,29875,29581,27366,29883,-22259,29639,29903,-27599,29879,-28921,29741,29873,-29091,29837,-29775,29851,29757,29797,29779,29637,-27081,-28779,29848,-28283,29705,-29189,29693,-29323
-27477,-27547,-27543,-27478,-27576,-445,-27587,-27596,-27599,-27452,-27177,-27599,-1558,-27478,-27599,1152,-27599,-247,-27528,-27599,-379,-27578,-1024,-27578,-27532,-27566,-27552,-27478,93,-169,-27582,55,-27507,-456,-27502,-572
29647,29775,29775,28117,29843,-29177,29865,29877,29871,29597,27368,29883,-22259,29655,29879,-27599,29903,-28921,29737,29889,-29091,29853,-29775,29839,29757,29813,29795,29637,-27081,-28779,29844,-28283,29705,-29189,29693,-29323
-28799,-28869,-28865,-28800,-28898,3,-28909,-28918,-28921,-28774,-28499,-28921,-2840,-28800,-28921,-247,-28921,491,-28850,-28921,23,-28900,-363,-28900,-28854,-28888,-28874,-28800,-472,60,-28904,-43,-28829,7,-28824,-26
29718,29741,29728,28170,29738,-29106,29759,29748,29745,29568,27437,29741,-22188,29710,29741,-27528,29737,-28850,29832,29731,-29020,29758,-29704,29764,29708,29766,29763,29708,-27010,-28708,29753,-28212,29776,-29118,29754,-29252
29641,29769,29769,28111,29837,-29177,29859,29871,29865,29603,27362,29877,-22259,29649,29873,-27599,29889,-28921,29731,29903,-29091,29847,-29775,29833,29751,29819,29801,29631,-27081,-28779,29838,-28283,29699,-29189,29687,-29323
-28969,-29039,-29035,-28970,-29068,179,-29079,-29088,-29091,-28944,-28669,-29091,-3010,-28970,-29091,-379,-29091,23,-29020,-29091,406,-29070,-278,-29070,-29024,-29058,-29044,-28970,-599,18,-29074,-130,-28999,290,-28994,-3
29668,29796,29796,28138,29840,-29156,29859,29838,29829,29618,27391,29841,-22238,29676,29837,-27578,29853,-28900,29758,29847,-29070,29882,-29754,29860,29778,29834,29816,29658,-27060,-28758,29853,-28262,29726,-29168,29714,-29302
